30,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none
31,metal eyelets 8mm ,luk's / et04,hem adjust,2 per side = 4 ,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none
32,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,none
33,cord lock,sv160819-4a,hem adjust,1 per side = 2,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,none
34,bead,sv160725-1a,hem adjust,1 per side = 2,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,none
35,keyclip,as production ,right hand pocket,1 per side = 2,black,black,black,black,black,none
36,notions,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
37,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black,black,none
38,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,black,black,none
39,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,none
40,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black,black,none
41,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,none
42,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,none
43,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,none
44,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black,black,none
45,elastic ,none,back of sleeve cuffs,1 per side = 2,available,available,available,available,available,none
46,elastine binding,none,goggle pocket binding,1,black,black,black,black,black,none
47,"elastic 1/4"" ",none,lining cable guide,1,black,black,black,black,black,none
48,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,1,"colorway: 7 =19-1718 tcx port/
18-1703 tcx smoke","colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 3
12-0105 tcx bone/
16-5807 tcx silt","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal",none
49,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black,black,none
50,velcro,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
51,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,match to shell,black,none
52," 1/2"" x 2 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,match to shell,black,none
53,"3/4"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell,black,none
54,"3/4"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell,black,none
55,thread,spi,supplier/ ref number,amount,port,military,bone/floral print,black,vintage camo broken twill,0
56,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
57,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
58,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
59,labels ,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
60,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none,none,none
61,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none,none,none
62,hang tags,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
63,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none,none,none
64,care and content labels,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
65,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
66,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
67,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
