,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
17,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,matching,matching,matching,matching,matching
18,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,matching,matching,matching,matching,matching
19,trims,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill
20,15mm metal snap ,luk's / 404,powder skirt - front closure,"2 female, 4 male",ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper
21,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper
22,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper
23,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper
24,metal eyelets 8mm ,luk's / et04,hem adjust,2 per side = 4 ,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper
25,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black
26,cord lock,sv160819-4a,hem adjust,1 per side = 2,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black
27,bead,sv160725-1a,hem adjust,1 per side = 2,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black
28,keyclip,as production ,right hand pocket,1 per side = 2,black,black,black,black,black
29,notions,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill
30,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black,black
31,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,black,black
32,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black
33,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black,black
34,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric
35,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric
36,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric
37,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black,black
38,elastic ,none,back of sleeve cuffs,1 per side = 2,available,available,available,available,available
39,elastine binding,none,goggle pocket binding,1,black,black,black,black,black
40,"elastic 1/4"" ",none,lining cable guide,1,black,black,black,black,black
41,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,1,"colorway: 7 =19-1718 tcx port/
18-1703 tcx smoke","colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 3
12-0105 tcx bone/
16-5807 tcx silt","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal"
42,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black,black
43,velcro,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill
44,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,match to shell,black
45," 1/2"" x 2 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,match to shell,black
46,"3/4"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell,black
47,"3/4"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell,black
48,thread,spi,supplier/ ref number,amount,port,military,bone/floral print,black,vintage camo broken twill
49,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell,match to shell
50,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,match to shell
51,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,match to shell
52,labels ,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill
53,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none,none
54,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none,none
55,hang tags,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill
56,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none,none
57,care and content labels,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill
58,address label,factory sourced,lining left side seam,1,address label,none,none,none,none
59,content label,factory sourced,lining left side seam,1,content label,none,none,none,none
60,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none
